type,title,link,Anforderungsprofil,Beschreibung,frist
Absolventenjobs,Wissenschaftliche*r Mitarbeiter*in Cybersicherheit,https://www.stellenwerk-darmstadt.de/jobboerse/wissenschaftlicher-mitarbeiterin-cybersicherheit-darmstadt-210408-463108,"
	Master of Science im Fachgebiet Informatik oder einem anderen Fachgebiet mit Bezug zur Cybersicherheit
	Wissen und Erfahrung im Bereich Cybersicherheit
	Bereitschaft, sich neuen Herausforderungen zu stellen
	Ausgeprägtes analytisches Denken
	Teamfähigkeit
	Lösungsorientiertes Handeln
","
      Die Digitalisierung stellt Gesellschaft, Wirtschaft und Politik vor große Herausforderungen. Um sie erfolgreich gestalten zu können, müssen viele praxisrelevante Forschungsfragen der Cybersicherheit und des Schutzes der Privatsphäre behandelt werden.

Das Nationale Forschungszentrum für angewandte Cybersicherheit ATHENE ist eine Forschungseinrichtung der Fraunhofer-Gesellschaft unter Beteiligung der Fraunhofer-Institute SIT und IGD sowie der Hochschulen TU Darmstadt und Hochschule Darmstadt. In einem bisher einzigartigen und innovativen Kooperationsmodell von universitärer und außeruniversitärer Forschung betreibt ATHENE Spitzenforschung zum Wohl von Wirtschaft, Gesellschaft und Staat und setzt Impulse in der Wissenschaft.

Das Fraunhofer SIT gehört dabei zu den führenden Forschungseinrichtungen für IT-Sicherheit in Deutschland und Europa. Im Fokus stehen die angewandte Forschung und die Entwicklung innovativer Lösungen für reale Sicherheits- und Datenschutzfragen.

In diesem Zusammenhang sind mehrere Stellen zu vergeben, für die Mitarbeit in Forschungs- und Entwicklungsprojekten im Bereich der angewandten Cybersicherheitsforschung, sowohl für Berufsanfänger*innen als auch für Personen mit Berufserfahrung, die das Ziel haben, ihre Karriere entsprechend weiterzuentwickeln.

Ihre Aufgaben


	Angewandte Forschungsprojekte im Bereich Cybersicherheit und Datenschutz
	Mitarbeit in öffentlich geförderten und/oder direkt durch Industriepartner beauftragten Projekten
	Konzeptentwicklung und Projektmanagementaufgaben
	Anfertigen von Projektberichten und wissenschaftlichen Veröffentlichungen
	Präsentation von Forschungsergebnissen im Rahmen von Publikationen und Vorträgen auf nationalen und internationalen Fachkonferenzen


Was Sie erwarten können


	Sie arbeiten an einem renommierten, international führenden Institut im Bereich Cybersicherheit
	Sie arbeiten in innovativen Forschungs- und Entwicklungsprojekten mit Partnern aus Industrie, Verwaltung und anderen Forschungseinrichtungen
	Sie erhalten eine systematische Karriereplanung mit individuellen Qualifizierungen sowie der Möglichkeit zur Promotion
	Sie arbeiten in einem freundlichen, offenen und kollegialen Arbeitsumfeld mit dynamischer und kreativer Arbeitsatmosphäre
	Sie erhalten attraktive leistungs- und erfolgsabhängige Vergütungsbestandteile
	Wir leben eine familienfreundliche Kultur mit flexiblen Arbeitszeiten und der Möglichkeit, nach Absprache auch komplett remote zu arbeiten


  
      
	Master of Science im Fachgebiet Informatik oder einem anderen Fachgebiet mit Bezug zur Cybersicherheit
	Wissen und Erfahrung im Bereich Cybersicherheit
	Bereitschaft, sich neuen Herausforderungen zu stellen
	Ausgeprägtes analytisches Denken
	Teamfähigkeit
	Lösungsorientiertes Handeln


  
      
        


    

    
              Jetzt bewerben
      
  


    
      
        


    

    
              Per E-Mail teilen
      
  


    
  ",
Studentenjobs,Studentische Hilfskraft im Bereich Numerische Methoden und Analysen,https://www.stellenwerk-darmstadt.de/jobboerse/studentische-hilfskraft-im-bereich-numerische-methoden-und-analysen-darmstadt-210423,"
	Implementierung numerischer Methoden zur Auslegung vibroakustischer Metamaterialien
	Verifizierung der implementierten Routinen
	Dokumentation der Toolbox

	Interesse in der Strukturdynamik
	Kenntnisse in MATLAB®/Simulink, Mechanical APDL/ANSYS Workbench von Vorteil
	Selbständige und zuverlässige Arbeitsweise
	Sehr gute Deutsch- und Englischkenntnisse

	Einen Einstieg in eine wissenschaftliche Karriere
	Ein kreatives Umfeld und Technik auf höchstem Niveau
","
      Das Fraunhofer-Institut für Betriebsfestigkeit und Systemzuverlässigkeit LBF in Darmstadt arbeitet mit Industrie und Forschung auf nationaler und internationaler Ebene an führender Stelle. Die Forschungsaufgaben des Instituts orientieren sich an konkreten Fragestellungen im Bereich der Betriebsfestigkeit, Systemzuverlässigkeit, Adaptronik und Kunststoffe.

Ab sofort sucht die Gruppe Numerische Methoden und Analysen, im Bereich Adaptronik, für den Standort Darmstadt-Kranichstein eine:

Studentische Hilfskraft im Bereich Numerische Methoden und Analysen
  
Die Gruppe „Numerische Methoden und Analysen“ erstellt numerische Modelle mittels Finite Elemente-Methode (FEM), der Software Matlab und MKS, analysiert und bewertet strukturdynamisches sowie vibroakustisches Verhalten von Systemen. Außerdem entwickelt sie Methoden zur Simulation passiver und aktiver Systeme zur Schwingungsminderung.
  
Als neuartige Maßnahme zur Schwingungsminderung werden in der Gruppe vibroakustische Metamaterialien erforscht. Der Fokus liegt dabei auf der Entwicklung effizienter Methoden und auf der Überführung dieser in eine Matlab Toolbox zur ganzheitlichen Auslegung vibroakustischer Metamaterialien. 

  
      
	Implementierung numerischer Methoden zur Auslegung vibroakustischer Metamaterialien
	Verifizierung der implementierten Routinen
	Dokumentation der Toolbox


Was Sie mitbringen


	Interesse in der Strukturdynamik
	Kenntnisse in MATLAB®/Simulink, Mechanical APDL/ANSYS Workbench von Vorteil
	Selbständige und zuverlässige Arbeitsweise
	Sehr gute Deutsch- und Englischkenntnisse


Was Sie erwarten können


	Einen Einstieg in eine wissenschaftliche Karriere
	Ein kreatives Umfeld und Technik auf höchstem Niveau


Die Vergütung richtet sich nach der Gesamtbetriebsvereinbarung zur Beschäftigung der Hilfskräfte.
Schwerbehinderte Menschen werden bei gleicher Eignung bevorzugt eingestellt.
Wir weisen darauf hin, dass die gewählte Berufsbezeichnung auch das dritte Geschlecht miteinbezieht.
Die Fraunhofer-Gesellschaft legt Wert auf eine geschlechtsunabhängige berufliche Gleichstellung.

Fraunhofer ist die größte Organisation für anwendungsorientierte Forschung in Europa. Unsere Forschungsfelder richten sich nach den Bedürfnissen der Menschen: Gesundheit, Sicherheit, Kommunikation, Mobilität, Energie und Umwelt. Wir sind kreativ, wir gestalten Technik, wir entwerfen Produkte, wir verbessern Verfahren, wir eröffnen neue Wege.

Ihre Bewerbung hat nur dann Chancen, wenn sie besonders aussagekräftig ausformuliert ist – bitte schicken Sie uns alle Inhalte Ihrer Arbeiten, Ihre Zeugnisse (letzten Notenspiegel und Arbeitszeugnisse) und ein ausformuliertes Anschreiben, in dem Sie auch vermerken, ab wann ein Eintritt möglich wäre. Bitte senden Sie uns Ihre Bewerbungsunterlagen ausschließlich online über den untenstehenden Link zu. Im besten Fall lernen wir uns bald persönlich kennen!

  
      
        


    

    
              Jetzt bewerben
      
  


    
      
        


    

    
              Per E-Mail teilen
      
  


    
  ",
Abschlussarbeiten,Masterthesis zur Entwicklung und Umsetzung eines Verfahrens,https://www.stellenwerk-darmstadt.de/jobboerse/masterthesis-zur-entwicklung-und-umsetzung-eines-verfahrens-darmstadt-210423-465161,"
	Recherche bestehender Ansätze zur Bewertung der Lebensdauer kurzfaserverstärkter Thermoplastbauteile auf Basis von FE-Berechnungen
	Konzeption der Ergebnis-Auswertung für den betrachteten Anwendungsfall
	Implementierung der Auswertemethode mit Hilfe der ANSYS-eigenen Skript-Sprache APDL oder anderen Programmiersprachen (z. B. Python, C++)
	Validierung der Methode durch Vergleich mit bestehenden experimentell ermittelten Daten

	Studienfach: Maschinenbau, Luft- und Raumfahrttechnik, Mechatronik, Mechanik, Computational Engineering oder vergleichbar
	Interesse an den Mechanismen der Materialermüdung
	Interesse an der Programmierung von Auswerte-Routinen für Berechnungsergebnisse
	Gute Sprachkenntnisse in Deutsch und Englisch
	Nützliche Softwarekenntnisse: FEM (i. B.ANSYS und/oder Abaqus)
	Idealerweise Kenntnisse im Bereich der Verbundwerkstoffe, insbesondere kurzfaserverstärkter Thermoplaste

	Interdisziplinäre Zusammenarbeit von Ingenieuren, Physikern und Chemikern mit hohem Engagement und gutem Arbeitsklima
	Enge Kopplung von Grundlagen- und Anwendungsforschung
	Ideale Rahmenbedingungen für Praxiserfahrungen neben dem Studium
","
      Das Fraunhofer-Institut für Betriebsfestigkeit und Systemzuverlässigkeit LBF in Darmstadt arbeitet mit Industrie und Forschung auf nationaler und internationaler Ebene an führender Stelle. Die Forschungsaufgaben des Instituts orientieren sich an konkreten Fragestellungen im Bereich der Betriebsfestigkeit, Systemzuverlässigkeit, Adaptronik und Kunststoffe.

Ab sofort vergibt die Abteilung Kunststoffverarbeitung und Bauteilauslegung, im Bereich Kunststoffe, für den Standort Darmstadt-Kranichstein eine Masterthesis im Bereich:

Entwicklung und Umsetzung eines Verfahrens zur Ermittlung der abgeschätzten Lebensdauer auf Basis der FE-Ergebnisse (postprocessing)

In der Abteilung ""Kunststoffverarbeitung und Bauteilauslegung"" wird u.a. das Werkstoffverhalten kurzfaserverstärkter Thermoplaste untersucht. Industriell werden diese in großer Menge im Spritzgussverfahren zu teilweise hoch belasteten Bauteilen verarbeitet.
Einen wichtigen Aspekt stellt daher die Materialermüdung dar, bei der es unter wiederholter Belastung zur zunehmenden Schädigung und schließlich zum Versagen des Bauteils kommt.

  
      
	Recherche bestehender Ansätze zur Bewertung der Lebensdauer kurzfaserverstärkter Thermoplastbauteile auf Basis von FE-Berechnungen
	Konzeption der Ergebnis-Auswertung für den betrachteten Anwendungsfall
	Implementierung der Auswertemethode mit Hilfe der ANSYS-eigenen Skript-Sprache APDL oder anderen Programmiersprachen (z. B. Python, C++)
	Validierung der Methode durch Vergleich mit bestehenden experimentell ermittelten Daten


Was Sie mitbringen


	Studienfach: Maschinenbau, Luft- und Raumfahrttechnik, Mechatronik, Mechanik, Computational Engineering oder vergleichbar
	Interesse an den Mechanismen der Materialermüdung
	Interesse an der Programmierung von Auswerte-Routinen für Berechnungsergebnisse
	Gute Sprachkenntnisse in Deutsch und Englisch
	Nützliche Softwarekenntnisse: FEM (i. B.ANSYS und/oder Abaqus)
	Idealerweise Kenntnisse im Bereich der Verbundwerkstoffe, insbesondere kurzfaserverstärkter Thermoplaste


Was Sie erwarten können


	Interdisziplinäre Zusammenarbeit von Ingenieuren, Physikern und Chemikern mit hohem Engagement und gutem Arbeitsklima
	Enge Kopplung von Grundlagen- und Anwendungsforschung
	Ideale Rahmenbedingungen für Praxiserfahrungen neben dem Studium


Schwerbehinderte Menschen werden bei gleicher Eignung bevorzugt eingestellt.
Wir weisen darauf hin, dass die gewählte Berufsbezeichnung auch das dritte Geschlecht miteinbezieht.
Die Fraunhofer-Gesellschaft legt Wert auf eine geschlechtsunabhängige berufliche Gleichstellung.

Fraunhofer ist die größte Organisation für anwendungsorientierte Forschung in Europa. Unsere Forschungsfelder richten sich nach den Bedürfnissen der Menschen: Gesundheit, Sicherheit, Kommunikation, Mobilität, Energie und Umwelt. Wir sind kreativ, wir gestalten Technik, wir entwerfen Produkte, wir verbessern Verfahren, wir eröffnen neue Wege.

Ihre Bewerbung hat nur dann Chancen, wenn sie besonders aussagekräftig ausformuliert ist – bitte schicken Sie uns alle Inhalte Ihrer Arbeiten, Ihre Zeugnisse (letzten Notenspiegel und Arbeitszeugnisse) und ein ausformuliertes Anschreiben, in dem Sie auch vermerken, ab wann ein Eintritt möglich wäre. Bitte senden Sie uns Ihre Bewerbungsunterlagen ausschließlich online über den untenstehenden Link zu. Im besten Fall lernen wir uns bald persönlich kennen!

Fragen zu dieser Position beantwortet Ihnen gerne:

  
      
        


    

    
              Jetzt bewerben
      
  


    
      
        


    

    
              Per E-Mail teilen
      
  


    
  ",
Absolventenjobs,"Bauleiter (m/w/d) Rohrleitungsbau, Rohrsanierung, Straßenbau, Kanalbau, Tiefbau",https://www.stellenwerk-darmstadt.de/jobboerse/bauleiter-mwd-rohrleitungsbau-rohrsanierung-strassenbau-kanalbau-tiefbau-mannheim-210507,"
	abgeschlossenes Ingenieurstudium oder vergleichbare Ausbildung zum Techniker (m/w/d)
	Erfahrung durch Praktika in ähnlichen bzw. artverwandten Bereichen wünschenswert
	Zusatzqualifikation als Schweißfachingenieur von Vorteil
	technische, kaufmännische und bauvertragliche Kenntnisse, insbesondere hinsichtlich Vorschriften, Normen und Richtlinien
	Kommunikationsstärke und entscheidungsstarke Persönlichkeit
	Sehr gute EDV-Kenntnisse (MS Office) und Erfahrungen mit projektspezifischen Anwendungen
","
      Ihre Aufgaben:


	Baustellenvorbereitung und -abwicklung
	Organisation und Leitung der Baustellen vor Ort inkl. der Koordination des Personaleinsatzes und der Nachunternehmer
	Sicherstellung der Umsetzung von Vorgaben und Bestimmungen der Arbeitssicherheit und des Umwelt- und Gesundheitsschutzes
	Überwachung der Einhaltung von Qualitäts- und Terminvorgaben
	kompetenter Ansprechpartner für Auftraggeber, Behörden und Mitarbeiter


  
      
	abgeschlossenes Ingenieurstudium oder vergleichbare Ausbildung zum Techniker (m/w/d)
	Erfahrung durch Praktika in ähnlichen bzw. artverwandten Bereichen wünschenswert
	Zusatzqualifikation als Schweißfachingenieur von Vorteil
	technische, kaufmännische und bauvertragliche Kenntnisse, insbesondere hinsichtlich Vorschriften, Normen und Richtlinien
	Kommunikationsstärke und entscheidungsstarke Persönlichkeit
	Sehr gute EDV-Kenntnisse (MS Office) und Erfahrungen mit projektspezifischen Anwendungen


  
      
        


    

    
              Jetzt bewerben
      
  


    
      
        


    

    
              PDF herunterladen
      
  


    
      
        


    

    
              Per E-Mail teilen
      
  


    
  ",
Studentenjobs,Gesucht: Unterstützung in der IT – Freelancer oder Student,https://www.stellenwerk-darmstadt.de/jobboerse/gesucht-unterstuetzung-der-it-freelancer-oder-student-gross-umstadt-210507-467337,"
	Freelancer oder Student der Informatik/Wirtschaftsinformatik/Cognitive Science o. A.
	Erfahrungen mit den oben genannten Systemen und Aufgaben oder Bereitschaft schnell und teils selbstständig zu recherchieren und lernen wie sie zu erfüllen sind
","
      Aufgaben:


	Unterstützung bei und nach Absprache auch selbstständige Netzwerkverwaltung, d. h. Nutzer anlegen, löschen, bearbeiten; Rechteverwaltung beim Zugriff auf Netzwerkressourcen Windows-Server-2012r2 und Cloudanbieter Strato HiDrive; Endgeräte in die Windows-Domäne hinzufügen, entfernen und einrichten;
	IT-Support: Hilfestellungen beim Installieren und Benutzen von Anwendungen für Mitarbeiter leisten (Telefonisch, per TeamViewer, per VPN etc.).
	Telefonische Verfügbarkeit für Notfälle (bspw. Server nicht erreichbar) von Mo-Fr 8-16 Uhr, falls nicht per Fernwartung lösbar Möglichkeit zur sofortigen Anfahrt (Auto/ÖPNV) – wird mit einem weiteren Mitarbeiter individuell aufgeteilt
	Aufbau von PC’s, Docking-Stations, etc.
	Eigenständige Informationsbeschaffung über die Vorhandene IT-Infrastruktur aus umfangreicher Dokumentation und durch nachfragen


  
      Voraussetzungen:


	Freelancer oder Student der Informatik/Wirtschaftsinformatik/Cognitive Science o. A.
	Erfahrungen mit den oben genannten Systemen und Aufgaben oder Bereitschaft schnell und teils selbstständig zu recherchieren und lernen wie sie zu erfüllen sind


  
      
        


    

    
              Jetzt bewerben
      
  


    
      
        


    

    
              Per E-Mail teilen
      
  


    
  ",
Absolventenjobs,Bauleiter (m/w/d) (Rohbau / Schlüsselfertigbau / Ingenieurbau) ,https://www.stellenwerk-darmstadt.de/jobboerse/bauleiter-mwd-rohbau-schluesselfertigbau-ingenieurbau-mannheim-210507-467335,"
	abgeschlossenes Ingenieurstudium oder vergleichbare Ausbildung
	Erfahrung durch Praktika im Rohbau bzw. Schlüsselfertigbau wünschenswert
	technische, kaufmännische und bauvertragliche Kenntnisse, insbesondere hinsichtlich Vorschriften, Normen und Richtlinien im Hochbau
	ausgeprägte Kosten- und Ergebnisorientierung
	Kommunikationsstärke und entscheidungsstarke Persönlichkeit
	Sehr gute EDV-Kenntnisse (MS Office) und Erfahrungen mit projektspezifischen Anwendungen
","
      Ihre Aufgaben:


	fach- und termingerechte Abwicklung unserer Hochbaustellen in den Sparten Wohn- und Gewerbebau, Industriebau sowie schlüsselfertiger Hochbau
	Organisation und Leitung der Baustellen vor Ort inkl. der Koordination des Personaleinsatzes und der Nachunternehmer
	Sicherstellung der Umsetzung von Vorgaben und Bestimmungen der Arbeitssicherheit und des Umwelt- und Gesundheitsschutzes
	Überwachung der Einhaltung von Qualitäts- und Terminvorgaben
	kompetenter Ansprechpartner für Auftraggeber, Behörden und Mitarbeiter


  
      
	abgeschlossenes Ingenieurstudium oder vergleichbare Ausbildung
	Erfahrung durch Praktika im Rohbau bzw. Schlüsselfertigbau wünschenswert
	technische, kaufmännische und bauvertragliche Kenntnisse, insbesondere hinsichtlich Vorschriften, Normen und Richtlinien im Hochbau
	ausgeprägte Kosten- und Ergebnisorientierung
	Kommunikationsstärke und entscheidungsstarke Persönlichkeit
	Sehr gute EDV-Kenntnisse (MS Office) und Erfahrungen mit projektspezifischen Anwendungen


  
      
        


    

    
              Jetzt bewerben
      
  


    
      
        


    

    
              PDF herunterladen
      
  


    
      
        


    

    
              Per E-Mail teilen
      
  


    
  ",
Studentenjobs,Graphic Designer GESUCHT !!!,https://www.stellenwerk-darmstadt.de/jobboerse/graphic-designer-gesucht-darmstadt-210507-467333,,"
      Wir sind ein professionelles Tattoo Studio aus Darmstadt und sind auf der Suche nach einem Grafik-Designer für die Umsetzung von realistischen Designs. Unser Ziel wäre, Designs anzubieten, um unseren Kunden abwechslungsreiche Beispiele anzubieten.

  
      1-2 Jahre relevante Berufserfahrung in Graphic und Photoshop Designs, Kreativität sowie Leidenschaft für anspruchsvolle Gestaltung, Liebe zum Detail und Hohe Leistungsbereitschaft, Kommunikationsstärke, Zuverlässigkeit und sichere Selbstorganisation, Versierter Umgang mit Grafik-Design. Es erwartet Sie ein attraktiver Arbeitsplatz in einem sehr modernen Unternehmen und einem dynamischen Team.

  
      
        


    

    
              Jetzt bewerben
      
  


    
      
        


    

    
              Per E-Mail teilen
      
  


    
  ",
Studentische Hilfskräfte,Aufbau eines Testbeds für die Funk-Kommunikation zur Steuerung von Drohnen,https://www.stellenwerk-darmstadt.de/jobboerse/aufbau-eines-testbeds-fuer-die-funk-kommunikation-zur-steuerung-von-drohnen-darmstadt,"
	Sehr gute Programmierkenntnisse in systemnahen Programmiersprachen wie C, C++ oder Rust
	Grundwissen im Bereich drahtloser Netze
	Erfahrung mit der Programmierung von Software-Defined Radios oder FPGAs vorteilhaft
	Strukturierte Vorgehensweise und eigenständige Arbeit
	Kreativität
","
      Im Kontext eines interdisziplinären Forschungsprojekts suchen wir längerfristig Unterstützung beim Aufbau und dem Betrieb eines Ende-zu-Ende-Testbeds zur Echtzeit-Steuerung von Drohnen. Die Drohne inklusive Controller (px4) werden dabei in einem 3D-Simulator (Gazebo und AirSim) simuliert. Die Kommunikation wird druch Hardware in the Loop mit programmierbaren Funktransceivern (Software-Defined Radios) realisiert.

In diesem Projekt sind wir insbesondere an drohnenbasierten Anwendungen zur Unterstützung bei Krisen- und Katastrophenereignissen interessiert. Entsprechende Simulationsszenarien werden in Kooperation mit Experten erstellt und in das Testbed integriert.

Ihre Aufgaben:

Unterstützung beim Aufbau und dem Betrieb des Testbeds. Zum Beispiel:


	Erweiterung der Simulatoren um den Live-Export von Positionsdaten
	Kopplung von Simulator und Funkstrecke
	Erstellen bzw. Erweitern von Simulationsszenarien
	Live-Visualisierung der Kommunikationsparameter
	Erstellen von Demonstratoren


  
      
	Sehr gute Programmierkenntnisse in systemnahen Programmiersprachen wie C, C++ oder Rust
	Grundwissen im Bereich drahtloser Netze
	Erfahrung mit der Programmierung von Software-Defined Radios oder FPGAs vorteilhaft
	Strukturierte Vorgehensweise und eigenständige Arbeit
	Kreativität


  
      
        


    

    
              Per E-Mail teilen
      
  


    
  ","Freitag, 21. Mai 2021 - 23:59"
Studentenjobs,Werkstudent oder Praktikant Personalmanagement (m/w/d),https://www.stellenwerk-darmstadt.de/jobboerse/werkstudent-oder-praktikant-personalmanagement-mwd-biebesheim-210507-467312,"
	Laufendes Studium (Bachelor oder Master) in einem Studiengang der Betriebs- oder Wirtschaftswissenschaften, idealerweise mit Schwerpunkt Personal/HR
	Kenntnisse im Personalmanagement von Vorteil
	Vertraulichkeit und Verschwiegenheit
	Zuverlässigkeit, Selbstständigkeit und Teamfähigkeit
	Schnelle Auffassungsgabe und Lernbereitschaft
	Sehr gute Deutschkenntnisse und ein gutes Ausdrucksvermögen
	Gute MS-Office Kenntnisse
","
      Die Indaver Deutschland Gruppe mit ihren Unternehmen AVG, HIM, Dörsam + Nickel, GAREG und PANSE ist eine der ersten Adressen für effiziente, ökonomische und sichere Entsorgung gefährlicher Abfälle in Deutschland und Europa. Wir betreiben an verschiedenen Standorten Abfallbehandlungsanlagen und besitzen Logistikkompetenz im eigenen Haus. Als Unternehmen der Indaver Gruppe sind wir Teil eines europaweit tätigen Konzerns und bieten Strukturen, in denen Sie sich einbringen und etwas bewegen können.

Wir suchen zum nächstmöglichen Zeitpunkt Unterstützung für das Personalmanagement. 

Das sind Ihre Aufgaben


	Mitarbeit in aktuell laufenden HR-Projekten (hauptsächlich Digitalisierung)
	Unterstützung im HR-Tagesgeschäft, sowohl operativ als auch administrativ
	Enge Zusammenarbeit und Unterstützung der HR-Business-Partner
	Mitarbeit bei der Recrutierung - von der Erstellung und Publikation von Stellenanzeigen, über den Auswahlprozess bis hin zu der Möglichkeit an Vorstellungsgesprächen teilzunehmen
	Bearbeitung von Verträgen, Mitarbeiterschreiben und Bescheinigungen
	Pflege der Personalstammdaten und Personalakten


  
      Sie bringen mit


	Laufendes Studium (Bachelor oder Master) in einem Studiengang der Betriebs- oder Wirtschaftswissenschaften, idealerweise mit Schwerpunkt Personal/HR
	Kenntnisse im Personalmanagement von Vorteil
	Vertraulichkeit und Verschwiegenheit
	Zuverlässigkeit, Selbstständigkeit und Teamfähigkeit
	Schnelle Auffassungsgabe und Lernbereitschaft
	Sehr gute Deutschkenntnisse und ein gutes Ausdrucksvermögen
	Gute MS-Office Kenntnisse


  
      
        


    

    
              Jetzt bewerben
      
  


    
      
        


    

    
              PDF herunterladen
      
  


    
      
        


    

    
              Per E-Mail teilen
      
  


    
  ",
Studentenjobs,Produktionshelfer/in (m/w/d) zur Herstellung von Trockeneis,https://www.stellenwerk-darmstadt.de/jobboerse/produktionshelferin-mwd-zur-herstellung-von-trockeneis-muehltal-210507-467278,,"
      White Lion Dry Ice & Laser Cleaning Technology sucht zum nächstmöglichen Zeitpunkt eine/n

Produktionshelfer/in (m/w/d) zur Herstellung von Trockeneis

Es handelt sich um eine Helfertätigkeit zur Produktion von Trockeneis, Bedienung der Trockeneisproduktionsanlagen, die samstags ausgeführt werden soll.

  
      sicherer Umgang in Maschinenführung/-bedienung

sicher im Umgang mit MS Office

 

  
      
        


    

    
              Jetzt bewerben
      
  


    
      
        


    

    
              Per E-Mail teilen
      
  


    
  ",
